valorcontrato1;duracao_dias;fornecedor_num_contratos;fornecedor_valor_medio;fornecedor_num_orgaos;orgao_num_contratos;orgao_valor_medio;orgao_num_fornecedores;anomaly_if;anomaly_score_if;anomaly_lof;anomaly_score_lof
307197.6;364.0;84;2154521.333103448;40;146;163764141.82162738;108;1;-0.6134682861804289;0;-1.566613741063059
612123.6;364.0;177;1756316.0664233577;44;146;163764141.82162738;108;1;-0.6410726069128374;0;-2.73359696491415
165442.68;364.0;177;1756316.0664233577;44;146;163764141.82162738;108;1;-0.6371807995093786;0;-2.7335969879711475
14162616.0;364.0;48;788707.1702083334;29;860;2325855.8773766733;529;1;-0.5658298308357068;0;-1.3494011591815767
1151958.6;89.0;177;1756316.0664233577;44;82;1477278.9142327274;54;1;-0.5739559681628956;0;-1.0252943294005923
582003.36;364.0;177;1756316.0664233577;44;239;2272039.6559724137;144;1;-0.5810618296205354;0;-1.876337153352917
142395.48;364.0;48;788707.1702083334;29;146;163764141.82162738;108;1;-0.568114944337842;0;-1.0432121461109385
34655.52;364.0;7;10516504.36;6;146;163764141.82162738;108;1;-0.5715328164507997;0;-1.0308992650474724
381210.72;364.0;7;10516504.36;6;146;163764141.82162738;108;1;-0.5729813306954836;0;-1.0308856943625095
873005.04;364.0;177;1756316.0664233577;44;168;1372875.4937623763;105;1;-0.5615924290856655;0;-1.009771702143151
11725714.19;760.0;64;8471801.304814814;18;994;5290699.8067473015;304;1;-0.5775353977234268;0;-1.124367512781981
2498830.0;364.0;60;507601.92586206895;20;1199;819590.5128311475;349;1;-0.5653221396810104;1;-17.998193725798945
1623203.4;365.0;84;2154521.333103448;40;1199;819590.5128311475;349;1;-0.6134309517530319;0;-1.3448301963691902
45550758.6;365.0;47;14934285.374444446;18;522;2547351.533049412;320;1;-0.6061756768894547;0;-1.1732480339757698
1864716.72;365.0;177;1756316.0664233577;44;82;1477278.9142327274;54;1;-0.5764098198041512;0;-1.0239727944830082
30000000.0;544.0;2;25000000.0;1;105;1519516.8125194805;65;1;-0.565724639892949;0;-1.983048050075635
601784.04;544.0;177;1756316.0664233577;44;105;1519516.8125194805;65;1;-0.5752747672874338;0;-0.9652891758912381
238937.52;365.0;177;1756316.0664233577;44;37;408388.35185185185;30;1;-0.5693097849170516;0;-0.9963958351427534
599971.68;364.0;57;240448.24251607145;34;146;163764141.82162738;108;1;-0.5730700186136801;0;-1.1901557640199834
291001.68;364.0;177;1756316.0664233577;44;146;163764141.82162738;108;1;-0.6376120531922721;0;-2.733596925516008
20000.0;365.0;64;140469.7826;35;146;163764141.82162738;108;1;-0.5782307813953688;0;-1.253557956147512
6628241.28;365.0;28;1524695.357142857;16;146;163764141.82162738;108;1;-0.5696817082384569;0;-1.103056392711872
37082039.5;180.0;2;21530797.134999998;1;860;2325855.8773766733;529;1;-0.6042885564335398;0;-2.003611330992341
